# English source<TAB>French Canadian translation. Authored for The Zebes Project.
Language	Langue
English	English
French (Canada)	Français (Canada)
Home	Accueil
Settings	Options
Graphics	Graphismes
Audio	Audio
Input	Commandes
Quality of Life	Confort de jeu
Trackers	Suivi de progression
Debug	Débogage
Save library	Sauvegardes
Randomizer	Mode aléatoire
Achievements	Succès
Return to game	Reprendre la partie
Exit game	Quitter le jeu
Cancel	Annuler
Confirm	Confirmer
Back	Retour
Close	Fermer
Apply	Appliquer
Reset	Réinitialiser
Enabled	Activé
Disabled	Désactivé
On	Activé
Off	Désactivé
Yes	Oui
No	Non
Default	Par défaut
Original	Originale
Remastered	Rematricée
Search	Rechercher
Search settings...	Rechercher une option…
WELCOME TO ZEBES	BIENVENUE SUR ZEBES
Play from the original game menus. Use this menu whenever you want to adjust your experience.	Lancez votre partie à partir des menus du jeu. Ouvrez ce menu pour personnaliser votre expérience.
VANILLA MODE	MODE CLASSIQUE
STORY MODE	MODE HISTOIRE
BOSS RUSH MODE	DÉFI DES BOSS
RANDOMIZER MODE	MODE ALÉATOIRE
THE ORIGINAL ADVENTURE	L'AVENTURE ORIGINALE
EXPLORE ZEBES AS SAMUS ARAN	EXPLOREZ ZEBES AVEC SAMUS
VANILLA REIMAGINED WITH	L'AVENTURE REVUE AVEC
CINEMATICS, VOICE ACTING	CINÉMATIQUES, DOUBLAGE
AND AN EXPANDED STORY	ET HISTOIRE ENRICHIE
COMING SOON	À VENIR
DEFEAT EVERY BOSS AND MINIBOSS	BATTEZ BOSS ET MINIBOSS
AS FAST AS POSSIBLE WITH	AU PLUS VITE AVEC
MINIMUM ITEMS. ONE CHANCE.	LE MINIMUM. UN SEUL ESSAI.
DIFFICULTY	DIFFICULTÉ
EASY	FACILE
MEDIUM	MOYEN
HARD	DIFFICILE
HARDCORE	EXTRÊME
ITEMS, ROUTES AND GOALS	OBJETS, TRAJETS ET BUTS
SHUFFLED BY YOUR SETTINGS	SELON VOS OPTIONS
EVERY SEED IS A NEW ADVENTURE	CHAQUE SEED EST UNE AVENTURE
RANDOMIZER OPTIONS	OPTIONS ALÉATOIRES
GENERATING	GÉNÉRATION
GENERATE GAME	GÉNÉRER LA PARTIE
GAME GENERATED	PARTIE GÉNÉRÉE
GENERATION IN PROGRESS	GÉNÉRATION EN COURS
SAVE ERROR - OPEN OPTIONS	ÉCHEC - VOIR LES OPTIONS
CHECK RANDOMIZER OPTIONS	VÉRIFIEZ LES OPTIONS
GENERATE A SEED TO START	GÉNÉREZ UNE SEED
START GAME	COMMENCER
CONTINUE	CONTINUER
END	QUITTER
SEED MAP	CARTE SEED
SELECT AREAS	SELECT ZONES
SELECT AREAS   Y ZOOM   A SAMUS	SELECT ZONES   Y ZOOM   A SAMUS
SELECT AREAS  Y ZOOM  A SAMUS	SELECT ZONES  Y ZOOM  A SAMUS
AVAILABLE OF TOTAL	ACCESSIBLES SUR LE TOTAL
A MAP  B BACK	A CARTE  B RETOUR
SAVED STATIONS ONLY	STATIONS DÉBLOQUÉES
A REGION  B BACK	A RÉGION  B RETOUR
L R STATION  A START	L R STATION  A JOUER
B BACK	B RETOUR
RETURN TO SHIP	RETOUR AU VAISSEAU
CHOZO TABLET	TABLETTE CHOZO
ACHIEVEMENT UNLOCKED	SUCCÈS DÉVERROUILLÉ
Morph Ball	Morphosphère
MORPH BALL	MORPHOSPHÈRE
Bombs	Bombes
BOMBS	BOMBES
Power Bomb	Bombe de puissance
POWER BOMB	BOMBE DE PUISSANCE
Missile	Missile
Super Missile	Super missile
Charge Beam	Rayon de charge
Ice Beam	Rayon de glace
Wave Beam	Rayon à ondes
Spazer	Rayon Spazer
Plasma Beam	Rayon plasma
Grapple Beam	Rayon grappin
X-Ray Scope	Viseur radioscopique
Varia Suit	Combinaison Varia
Gravity Suit	Combinaison de gravité
Hi-Jump Boots	Bottes de saut
Speed Booster	Accélérateur
Space Jump	Saut spatial
Screw Attack	Attaque en vrille
Spring Ball	Boule de saut
Energy Tank	Réserve d'énergie
Reserve Tank	Réserve auxiliaire
Soundtrack	Trame sonore
Master volume	Volume principal
Overall volume of music and sound effects.	Volume de la musique et des effets sonores.
Mute audio	Couper le son
Silence game audio without changing its volume setting.	Couper le son sans modifier le volume choisi.
Windowed	Fenêtré
Borderless fullscreen	Plein écran sans bordure
Fit to screen	Adapter à l'écran
Integer scaling	Échelle entière
Image scaling	Mise à l'échelle
Vertical sync	Synchronisation verticale
Synchronize presentation with the display.	Synchroniser l'affichage avec l'écran.
Atmosphere & lighting	Ambiance et éclairage
Enable the presentation layer and native combat effects.	Activer les effets visuels d'ambiance et de combat.
Soft Gaussian blend	Flou gaussien doux
Lighten	Éclaircir
Multiply	Multiplier
Blend opacity	Opacité du mélange
Strength of the soft Gaussian layer.	Intensité de la couche de flou gaussien.
Scene brightness	Luminosité de la scène
Brightness of the softened scene. 1.00 is neutral; 1.10 adds a gentle lift.	Luminosité de la scène adoucie. 1,00 est neutre; 1,10 l'éclaircit légèrement.
Background parallax	Parallaxe du décor
Offset supported background layers as Samus moves.	Décaler les plans du décor selon les déplacements de Samus.
Background depth	Profondeur du décor
Add restrained depth to the original scenery.	Ajouter une profondeur discrète au décor original.
Surface relief	Relief des surfaces
Light and shade edges to emphasize structure.	Éclairer et ombrer les contours pour accentuer le relief.
Engine weather	Effets météo
Rain, fog, underwater and heat effects by environment.	Pluie, brume, effets sous-marins et chaleur selon le milieu.
Refill energy and ammo when saving	Rétablir l'énergie et les munitions à la sauvegarde
Travel between saved stations	Voyager entre les stations de sauvegarde
Trackers in Vanilla	Suivi en mode classique
Map tracker	Suivi sur la carte
Item tracker	Suivi des objets
Tracker legend	Légende du suivi
Green: accessible	Vert : accessible
Red: blocked	Rouge : inaccessible
Yellow: advanced route / uncertain return	Jaune : trajet avancé ou retour incertain
Blue: inspect only (when supported)	Bleu : visible seulement (si pris en charge)
Gray: collected / defeated	Gris : obtenu ou vaincu
Vanilla tracker techniques	Techniques du suivi classique
Casual	Détente
Regular	Normal
Veteran	Vétéran
Seed number	Numéro de seed
Settings string	Code de configuration
Copy settings	Copier la configuration
Paste	Coller
Import settings	Importer la configuration
Import	Importer
Export	Exporter
Settings preset	Préréglage
Skill preset	Profil de techniques
Choose a preset...	Choisissez un préréglage…
Import / export configuration	Importer ou exporter la configuration
Chozo Tablet Hunt	Chasse aux tablettes chozo
Tablets in the world	Tablettes placées
Tablets required	Tablettes requises
Tablet escape timer	Durée de l'évacuation
3 minutes	3 minutes
5 minutes	5 minutes
6 minutes	6 minutes
7 minutes	7 minutes
10 minutes	10 minutes
Leave empty for a random number when you select Generate Game. Enter a number to reproduce a seed with the same settings.	Laissez vide pour obtenir un numéro aléatoire à la génération. Entrez un numéro pour reproduire une seed avec les mêmes options.
